office,office_type,office_district,total_votes_2020,total_votes_2022,total_votes_2024,winner_2020,winner_2022,winner_2024,winner_party_2020,winner_party_2022,winner_party_2024,winner_margin_2020,winner_margin_2022,winner_margin_2024,winner_percent_2020,winner_percent_2022,winner_percent_2024
"STATE SENATOR, DISTRICT 8",SD,8,0,128399,184642,,JONATHAN COCKS,ANGELA PAXTON,,D,R,0,0,85101,0.0,100.0,59.36
"STATE SENATOR, DISTRICT 9",SD,9,0,111019,0,,GWENN BURUD,,,D,,0,0,0,0.0,100.0,0.0
U. S. REPRESENTATIVE DISTRICT 1,CD,1,83016,234662,0,HANK GILBERT,NATHANIEL MORAN,,D,R,,0,263572,0,100.0,156.16,0.0
U. S. REPRESENTATIVE DISTRICT 10,CD,10,187686,86404,118280,MIKE SIEGEL,LINDA NUNO,MICHAEL T. MCCAUL,D,D,R,0,0,102949,100.0,100.0,65.16
U. S. REPRESENTATIVE DISTRICT 11,CD,11,285962,0,0,AUGUST PFLUGER,,,R,,,358348,0,0,162.66,0.0,0.0
U. S. REPRESENTATIVE DISTRICT 12,CD,12,121250,85026,339718,LISA WELCH,TREY J. HUNT,CRAIG GOLDMAN,D,D,R,0,0,182820,100.0,100.0,126.9
U. S. REPRESENTATIVE DISTRICT 13,CD,13,267601,52910,0,RONNY JACKSON,KATHLEEN BROWN,,R,D,,333294,0,0,162.28,100.0,0.0
U. S. REPRESENTATIVE DISTRICT 14,CD,14,118574,63606,95875,ADRIENNE BELL,MIKAL WILLIAMS,RANDY WEBER,D,D,R,0,0,114445,100.0,100.0,68.69
U. S. REPRESENTATIVE DISTRICT 15,CD,15,109017,149075,95965,MONICA DE LA CRUZ-HERNANDEZ,MONICA DE LA CRUZ,MONICA DE LA CRUZ,R,R,R,0,25762,31839,100.0,108.64,57.11
U. S. REPRESENTATIVE DISTRICT 16,CD,16,84006,54986,89281,IRENE ARMENDARIZ-JACKSON,IRENE ARMENDARIZ JACKSON,VERONICA ESCOBAR,R,R,D,0,0,42110,100.0,100.0,59.54
U. S. REPRESENTATIVE DISTRICT 17,CD,17,296955,72801,97941,PETE SESSIONS,MARY JO WOODS,PETE SESSIONS,R,D,R,91650,0,95160,115.44,100.0,66.35
U. S. REPRESENTATIVE DISTRICT 18,CD,18,58033,40941,218644,WENDELL CHAMPION,CARMEN MARIA MONTIEL,SYLVESTER TURNER,R,R,D,0,0,170048,100.0,100.0,138.88
U. S. REPRESENTATIVE DISTRICT 19,CD,19,60583,37360,27461,TOM WATSON,NATHAN LEWIS,JODEY C. ARRINGTON,D,I,R,0,0,187489,100.0,100.0,88.67
U. S. REPRESENTATIVE DISTRICT 2,CD,2,148374,78496,112252,SIMA LADJEVARDIAN,ROBIN FULFORD,DAN CRENSHAW,D,D,R,0,0,102379,100.0,100.0,65.66
U. S. REPRESENTATIVE DISTRICT 20,CD,20,89628,53226,0,MAURO GARZA,KYLE SINCLAIR,,R,R,,0,0,0,100.0,100.0,0.0
U. S. REPRESENTATIVE DISTRICT 21,CD,21,205780,122655,153765,WENDY R. DAVIS,CLAUDIA ANDREANA ZAPATA,CHIP ROY,D,D,R,0,0,109979,100.0,100.0,63.17
U. S. REPRESENTATIVE DISTRICT 22,CD,22,392257,85653,127604,TROY NEHLS,JAMIE KAYE JORDAN,TROY E. NEHLS,R,D,R,56522,0,81681,107.2,100.0,62.12
U. S. REPRESENTATIVE DISTRICT 23,CD,23,287088,80947,109373,TONY GONZALES,JOHN LIRA,TONY GONZALES,R,D,R,23404,0,71347,104.08,100.0,62.3
U. S. REPRESENTATIVE DISTRICT 24,CD,24,331236,119878,149518,BETH VAN DUYNE,JAN MCDOWELL,BETH VAN DUYNE,R,D,R,9168,0,77590,101.38,100.0,60.3
U. S. REPRESENTATIVE DISTRICT 25,CD,25,165697,0,1661,JULIE OLIVER,,ROGER WILLIAMS,D,,R,0,0,261381,100.0,0.0,99.37
U. S. REPRESENTATIVE DISTRICT 26,CD,26,161009,81384,379654,CAROL H. IANNUZZI,MIKE KOLLS,BRANDON GILL,D,L,R,0,0,205076,100.0,100.0,127.0
U. S. REPRESENTATIVE DISTRICT 27,CD,27,95466,73611,94596,"RICARDO ""RICK"" DE LA FUENTE",MACLOVIO PEREZ JR.,MICHAEL CLOUD,D,D,R,0,0,89384,100.0,100.0,66.04
U. S. REPRESENTATIVE DISTRICT 28,CD,28,91925,71778,112117,SANDRA WHITTEN,CASSY GARCIA,HENRY CUELLAR,R,R,D,0,0,13373,100.0,100.0,52.81
U. S. REPRESENTATIVE DISTRICT 29,CD,29,42840,28765,52830,JAIMY Z. BLANCO,ROBERT SCHAFRANEK,SYLVIA GARCIA,R,R,D,0,0,46549,100.0,100.0,65.29
U. S. REPRESENTATIVE DISTRICT 3,CD,3,179458,264361,142953,LULU SEIKALY,KEITH SELF,KEITH SELF,D,R,R,0,128238,94841,100.0,124.26,62.45
U. S. REPRESENTATIVE DISTRICT 30,CD,30,48685,174085,35175,TRE PENNIE,JASMINE  CROCKETT,JASMINE CROCKETT,R,D,D,0,191334,162475,100.0,154.96,84.89
U. S. REPRESENTATIVE DISTRICT 31,CD,31,176293,0,126470,DONNA IMAM,,JOHN CARTER,D,,R,0,0,102617,100.0,0.0,64.43
U. S. REPRESENTATIVE DISTRICT 32,CD,32,157867,61494,226477,GENEVIEVE COLLINS,ANTONIO SWAD,JULIE JOHNSON,R,R,D,0,0,109190,100.0,100.0,124.1
U. S. REPRESENTATIVE DISTRICT 33,CD,33,39638,29203,51864,FABIAN CORDOVA VASQUEZ,PATRICK DAVID GILLESPIE,MARC VEASEY,R,R,D,0,0,62425,100.0,100.0,68.79
U. S. REPRESENTATIVE DISTRICT 34,CD,34,84119,130360,97603,REY GONZALEZ,VICENTE GONZALEZ,VICENTE GONZALEZ,R,D,D,0,22864,5177,100.0,108.76,51.29
U. S. REPRESENTATIVE DISTRICT 35,CD,35,80795,178568,82610,JENNY GARCIA SHARON,GREG CASAR,GREG CASAR,R,D,D,0,161260,87899,100.0,145.16,67.36
U. S. REPRESENTATIVE DISTRICT 36,CD,36,73418,64016,91009,RASHAD LEWIS,JON HAIRE,BRIAN BABIN,D,D,R,0,0,115000,100.0,100.0,69.36
U. S. REPRESENTATIVE DISTRICT 37,CD,37,0,279281,80366,,LLOYD DOGGETT,LLOYD DOGGETT,,D,D,0,318870,172614,0.0,157.08,75.89
U. S. REPRESENTATIVE DISTRICT 38,CD,38,0,255899,127640,,WESLEY HUNT,WESLEY P. HUNT,,R,R,0,142590,87390,0.0,127.86,62.75
U. S. REPRESENTATIVE DISTRICT 4,CD,4,330163,79179,111696,PAT FALLON,IRO OMERE,PAT FALLON,R,D,R,355022,0,129907,153.76,100.0,68.38
U. S. REPRESENTATIVE DISTRICT 5,CD,5,100743,71930,107712,CAROLYN SALTER,TARTISHA HILL,LANCE GOODEN,D,D,R,0,0,84473,100.0,100.0,64.08
U. S. REPRESENTATIVE DISTRICT 6,CD,6,149530,0,98319,STEPHEN DANIEL,,JAKE ELLZEY,D,,R,0,0,89800,100.0,0.0,65.68
U. S. REPRESENTATIVE DISTRICT 7,CD,7,149054,65835,94651,WESLEY HUNT,JOHNNY TEAGUE,LIZZIE FLETCHER,R,R,D,0,0,55169,100.0,100.0,61.28
U. S. REPRESENTATIVE DISTRICT 8,CD,8,97409,221842,108754,ELIZABETH HERNANDEZ,MORGAN LUTTRELL,MORGAN LUTTRELL,D,R,R,0,168824,124669,100.0,138.06,68.22
U. S. REPRESENTATIVE DISTRICT 9,CD,9,49575,38161,0,JOHNNY TEAGUE,JIMMY I. LEON,,R,R,,0,0,0,100.0,100.0,0.0
